player_id,status,p_start,exp_minutes
2010,,0.9,80.0
2009,,0.4,40.0
1665,,0.12,17.6
1979,,0.9,80.0
1975,,0.87,77.6
1976,,0.84,75.2
1973,,0.81,72.8
1981,,0.4,40.0
1974,,0.12,17.6
1980,,0.12,17.6
1977,,0.12,17.6
2068,,0.12,17.6
1992,,0.9,80.0
1987,,0.87,77.6
1990,,0.4,40.0
1989,,0.12,17.6
1986,,0.12,17.6
1993,,0.12,17.6
1994,,0.12,17.6
1991,,0.12,17.6
